Time,Open,High,Low,Close,Volume
01-10-2021 09:07,925,925,925,925,1
01-10-2021 09:15,925,927,921.25,926.25,5527
01-10-2021 09:16,926.85,926.85,923.65,924.1,3236
01-10-2021 09:17,924,925.85,924,925,1427
01-10-2021 09:18,925,927,924.65,926.75,3424
01-10-2021 09:19,926,926,923,926,4062
01-10-2021 09:20,925.15,925.15,922,922.65,1690
01-10-2021 09:21,923.2,924.2,920.45,921.35,3626
01-10-2021 09:22,921.35,923.5,921.35,922.5,1135
01-10-2021 09:23,922.9,923.15,921.2,923,1432
01-10-2021 09:24,922.35,922.35,917.85,919,5528
01-10-2021 09:25,918.95,921.1,918.1,918.5,3927
01-10-2021 09:26,918.5,921.6,917.45,920.4,4517
01-10-2021 09:27,920.5,924.9,919.4,924.4,4603
01-10-2021 09:28,924.45,925,923.05,923.45,594
01-10-2021 09:29,923,923,921.6,922.9,526
01-10-2021 09:30,923,924.85,922.95,924.15,2780
01-10-2021 09:31,924.1,924.1,923.8,923.9,458
01-10-2021 09:32,924.4,927,924.4,926.5,4068
01-10-2021 09:33,926.9,927,925.25,925.45,1912
01-10-2021 09:34,925.95,927,925.95,926.95,411
01-10-2021 09:35,926.55,926.8,925,925,267
01-10-2021 09:36,924.95,926.7,924.95,926.5,1787
01-10-2021 09:37,926.1,926.5,925.9,925.9,340
01-10-2021 09:38,925.8,926.4,925,926.25,1624
01-10-2021 09:39,926.2,928,925.35,927.7,3142
01-10-2021 09:40,928,928.2,927.4,928,420
01-10-2021 09:41,927.4,927.7,927,927.55,294
01-10-2021 09:42,927,929.5,927,929.4,1459
01-10-2021 09:43,929,929.85,928.25,929.25,1092
01-10-2021 09:44,929.25,934.45,929.25,933.95,4846
01-10-2021 09:45,933.4,934,930.45,930.45,2576
01-10-2021 09:46,930.15,930.15,927.55,927.55,2063
01-10-2021 09:47,927.55,929.25,927,927.35,1314
01-10-2021 09:48,927.5,927.95,927.1,927.5,441
01-10-2021 09:49,927.5,927.95,927,927.5,1447
01-10-2021 09:50,927,927.1,922.95,925.55,2610
01-10-2021 09:51,925.6,926.1,923.8,923.8,1105
01-10-2021 09:52,923.65,923.85,923,923.05,672
01-10-2021 09:53,923.1,923.8,923.1,923.3,235
01-10-2021 09:54,923.25,927,923.25,926.95,3355
01-10-2021 09:55,926.65,926.65,925.1,925.1,1110
01-10-2021 09:56,925.4,927.35,925.25,927.25,282
01-10-2021 09:57,927.85,927.85,925.45,925.45,339
01-10-2021 09:58,926.05,928.9,926.05,928.9,657
01-10-2021 09:59,928.5,929.5,927.65,928.65,1403
01-10-2021 10:00,928.8,929.9,928.65,929.9,541
01-10-2021 10:01,929.85,929.85,927.95,928,2446
01-10-2021 10:02,927.15,928.55,927.15,928.55,686
01-10-2021 10:03,928.05,929,928.05,929,754
01-10-2021 10:04,929.45,931.6,929.45,931.6,3731
01-10-2021 10:05,931.7,932,930.85,931.55,1268
01-10-2021 10:06,931.05,931.8,930.2,931.1,341
01-10-2021 10:07,930.45,931,929.4,929.4,588
01-10-2021 10:08,929.4,930,929.1,929.9,1334
01-10-2021 10:09,928.55,929.6,928.55,929.6,787
01-10-2021 10:10,929.05,929.6,929.05,929.55,677
01-10-2021 10:11,929.45,929.45,928.65,928.65,270
01-10-2021 10:12,929.25,929.6,926.1,926.45,951
01-10-2021 10:13,926.95,927.4,926.1,926.65,557
01-10-2021 10:14,927.3,929.4,927.3,929.4,1168
01-10-2021 10:15,929.45,929.8,928.1,929.3,872
01-10-2021 10:16,930,930.9,930,930.5,432
01-10-2021 10:17,930.5,930.7,930.5,930.7,555
01-10-2021 10:18,930.5,930.7,930.5,930.65,814
01-10-2021 10:19,930.75,931.2,930.7,930.7,565
01-10-2021 10:20,930.5,931.05,930.5,930.5,589
01-10-2021 10:21,930.5,930.9,927.75,928,1295
01-10-2021 10:22,929.65,930.7,929.6,930.55,1217
01-10-2021 10:23,930.15,931.85,930.05,931.85,1162
01-10-2021 10:24,931.9,931.9,929.35,929.35,1143
01-10-2021 10:25,929.8,930,927,927,1017
01-10-2021 10:26,928.15,929.9,927.85,929.4,1536
01-10-2021 10:27,929.4,930.4,929.4,929.6,623
01-10-2021 10:28,929.25,929.25,928.25,928.95,72
01-10-2021 10:29,928.9,929.6,928.3,928.65,214
01-10-2021 10:30,928.65,928.65,928,928,284
01-10-2021 10:31,928,929.05,927.6,927.9,273
01-10-2021 10:32,928,928.85,927.55,928.05,1287
01-10-2021 10:33,928.05,928.75,927,927,312
01-10-2021 10:34,927.05,928.35,927.05,928.1,62
01-10-2021 10:35,928.05,928.05,926.5,926.55,428
01-10-2021 10:36,926.5,927.35,925.95,926.15,904
01-10-2021 10:37,926.25,926.9,926.2,926.25,475
01-10-2021 10:38,926.6,926.6,926.2,926.5,117
01-10-2021 10:39,926.3,929.05,926.3,928.65,499
01-10-2021 10:40,928.4,928.55,928.4,928.55,57
01-10-2021 10:41,928.4,928.4,927.9,927.9,167
01-10-2021 10:42,927.6,927.6,927.15,927.15,110
01-10-2021 10:43,926.7,928,926.7,927.35,1114
01-10-2021 10:44,926.85,926.85,926.5,926.5,357
01-10-2021 10:45,927.1,928.15,927,928.05,274
01-10-2021 10:46,927.3,928.55,927.3,928.55,549
01-10-2021 10:47,929.55,929.55,929,929.05,112
01-10-2021 10:48,929,929,927.45,927.45,531
01-10-2021 10:49,926.5,927.25,926.5,926.75,843
01-10-2021 10:50,926.75,927.3,926.75,927.3,125
01-10-2021 10:51,927.5,927.75,927.5,927.5,786
01-10-2021 10:52,927.5,927.5,926.7,926.75,391
01-10-2021 10:53,927.35,927.65,926.85,926.9,177
01-10-2021 10:54,926.95,927.5,926.8,926.8,293
